OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
HAIYANG-2B,2018-081A,2026-01-26T15:21:25.879968,13.79303373,.00005677,99.3337,37.5093,356.7043,3.4105,0,U,43655,999,36541,-.30704164E-4,-.76E-6,0
COSMOS 2528,2018-082A,2026-01-26T12:17:12.503328,13.96698257,.00047534,67.1483,62.0984,286.0393,74.0168,0,U,43657,999,37016,.44325635E-4,-.14E-6,0
CFOSAT,2018-083A,2026-01-26T19:34:03.624672,15.16498059,.000227,97.3632,35.4940,57.0130,303.1321,0,U,43662,999,40101,.28575E-3,.5502E-4,0
GOSAT 2 (IBUKI 1),2018-084B,2026-01-26T07:35:22.354080,14.84230528,.0001588,97.8670,139.6673,91.7229,268.4167,0,U,43672,999,39251,.50515E-3,.4177E-4,0
KHALIFASAT,2018-084F,2026-01-26T14:33:41.968800,15.00701717,.00041912,98.0859,203.3802,203.4011,156.7022,0,U,43676,999,39453,.37278383E-3,.4658E-4,0
TEN-KOH,2018-084G,2026-01-26T11:31:53.048640,15.02129895,.00085331,98.0718,212.9215,231.7452,128.3004,0,U,43677,999,39488,.31500377E-3,.4079E-4,0
DIWATA-2B,2018-084H,2026-01-26T15:00:37.584000,14.99747903,.00072281,98.1101,216.9295,261.4771,98.5632,0,U,43678,999,39499,.33276426E-3,.4049E-4,0
STARS-AO,2018-084J,2026-01-26T02:43:46.191648,15.15070217,.00014481,98.0633,231.3741,316.5717,43.5399,0,U,43679,999,39594,.67824379E-3,.12628E-3,0
AUTCUBE 2,2018-084K,2026-01-26T12:13:52.376736,15.08844979,.00094665,98.0791,225.1756,156.3266,203.8399,0,U,43681,999,39555,.4628466E-3,.7226E-4,0
BEIDOU-3 G1,2018-085A,2026-01-26T16:04:31.835424,1.00274745,.000139,2.7181,101.5159,63.6506,341.9193,0,U,43683,999,2664,0,-.268E-5,0
COSMOS 2529 [GLONASS-M],2018-086A,2026-01-19T21:29:13.221888,2.13102107,.00068261,64.2947,197.5986,252.1928,107.7371,0,U,43687,999,5612,0,.88E-6,0
METOP-C,2018-087A,2026-01-26T14:07:37.906752,14.21505029,.00011442,98.6858,88.6556,162.1138,198.0080,0,U,43689,999,37471,.11092639E-3,.199E-5,0
GSAT-29,2018-089A,2026-01-26T13:57:36.495360,1.00269050,.00030752,0.0236,90.5113,204.9243,94.9040,0,U,43698,999,2636,0,.97E-6,0
ES'HAIL 2,2018-090A,2026-01-26T13:49:14.795616,1.00269863,.00021128,0.0263,73.6873,268.3000,16.9812,0,U,43700,999,2625,0,0,0
BEIDOU-3 M17,2018-093A,2026-01-21T10:52:11.288352,1.86228287,.00060065,54.1743,187.2734,304.3545,235.7164,0,U,43706,999,4880,0,.85E-6,0
BEIDOU-3 M18,2018-093B,2026-01-25T21:05:26.625696,1.86226316,.00059646,54.1752,187.1154,351.8960,8.0735,0,U,43707,999,4888,0,.106E-5,0
SHIYAN-6 01 (SY-6 01),2018-094B,2026-01-26T12:51:20.997216,15.28053728,.001154,97.3687,42.1344,295.3828,64.6216,0,U,43711,999,39984,.30590378E-3,.8312E-4,0
MOHAMMED VI-B,2018-095A,2026-01-26T14:18:35.650944,14.77123232,.00014084,97.9499,100.9706,98.3701,261.7668,0,U,43717,999,38728,.22040914E-3,.1507E-4,0
HYSIS,2018-096A,2026-01-26T15:28:37.504992,14.78638613,.00006887,98.0027,94.3865,122.6683,237.4595,0,U,43719,999,38650,.2847767E-3,.2034E-4,0
COSMOS 2530 (RODNIK-S 16),2018-097A,2026-01-26T14:53:25.206432,12.42876467,.00199051,82.5178,310.1660,347.5265,12.5319,0,U,43751,999,32470,.83198824E-3,.125E-5,0
COSMOS 2531 (RODNIK-S 17),2018-097B,2026-01-26T15:30:38.672352,12.42907577,.00173228,82.5224,311.1604,6.4465,353.6835,0,U,43752,999,32472,.78949572E-3,.119E-5,0
COSMOS 2532 (RODNIK-S 18),2018-097C,2026-01-26T14:14:53.717856,12.42904036,.0018723,82.5167,310.0436,8.4494,351.6898,0,U,43753,999,32468,.15316474E-2,.222E-5,0
MINXSS-2,2018-099A,2026-01-26T15:28:57.489312,15.37408270,.00096324,97.4721,99.6899,59.9622,300.2577,0,U,43758,999,39231,.10166528E-2,.37392E-3,0
SIRION PATHFINDER-2,2018-099B,2026-01-26T14:19:03.306720,15.12974380,.00105882,97.4481,79.0120,73.4653,286.7740,0,U,43759,999,39120,.46789981E-3,.8204E-4,0
STPSAT-5,2018-099E,2026-01-26T08:52:11.137440,15.12218088,.00047011,97.4313,79.9975,102.5725,257.6032,0,U,43762,999,39142,.47809672E-3,.82E-4,0
POLAR SCOUT KODIAK,2018-099G,2026-01-26T14:41:11.393952,15.50121270,.0006822,97.4363,103.4545,26.9093,333.2511,0,U,43764,999,39283,.13703797E-2,.77742E-3,0
HAWK-A,2018-099H,2026-01-25T21:36:37.214208,15.22462140,.00379327,97.4144,80.0406,66.9036,293.6192,0,U,43765,999,39143,.52896692E-3,.12426E-3,0
SPAWAR-CAL-O,2018-099J,2026-01-26T15:11:18.319488,15.29483465,.00102154,97.4549,89.8485,77.9247,282.3138,0,U,43766,999,39184,.87807136E-3,.25115E-3,0
CORVUS BC4,2018-099K,2026-01-26T13:14:13.978752,15.11112704,.00097554,97.4291,73.6490,124.8908,235.3241,0,U,43767,999,39100,.47341202E-3,.788E-4,0
AISTECHSAT 2,2018-099L,2026-01-26T13:56:33.452736,15.13723360,.00063963,97.4523,77.7193,75.9751,284.2191,0,U,43768,999,39084,.47754248E-3,.8545E-4,0
FOX-1CLIFF (AO-95),2018-099N,2026-01-26T14:47:40.387488,15.23198290,.00104956,97.4603,87.5879,122.4730,237.7523,0,U,43770,999,39164,.72978051E-3,.17241E-3,0
RANGE-A,2018-099R,2026-01-26T02:12:23.344704,15.11928490,.00120118,97.4187,72.8082,115.7088,244.5384,0,U,43773,999,39101,.47382115E-3,.8073E-4,0
HIBER-2,2018-099S,2026-01-26T04:30:11.829888,16.10054523,.0007037,97.4388,110.3058,299.2107,60.8472,0,U,43774,999,39300,.22048E-2,.1948746E-1,.32793E-2
SPAWAR-CAL-R,2018-099U,2026-01-26T13:33:03.120480,15.04963378,.0021862,97.4599,71.8993,121.7148,238.6214,0,U,43776,999,39069,.22625029E-3,.3164E-4,0
SPAWAR-CAL-OR,2018-099W,2026-01-26T02:39:17.495424,15.20446787,.00137235,97.4029,76.8308,94.9574,265.3228,0,U,43778,999,39104,.71371877E-3,.15563E-3,0
SNUSAT-2,2018-099AA,2026-01-26T14:14:01.298112,15.19274363,.00122866,97.4288,82.2441,74.1602,286.0987,0,U,43782,999,39151,.59631148E-3,.12545E-3,0
KAZSTSAT,2018-099AB,2026-01-26T01:07:18.271200,14.99491151,.00091364,97.4475,64.3014,143.6369,216.5478,0,U,43783,999,39000,.24351765E-3,.2935E-4,0
SNUGLITE,2018-099AC,2026-01-26T14:12:17.740800,15.23600291,.00043718,97.4100,82.4590,77.1364,283.0361,0,U,43784,999,39173,.7239951E-3,.17288E-3,0
ITASAT,2018-099AE,2026-01-26T15:12:24.759360,15.16917484,.00143711,97.4256,81.0169,123.2858,236.9754,0,U,43786,999,39143,.59720428E-3,.11747E-3,0
EAGLET-I,2018-099AJ,2026-01-26T14:14:28.195296,15.11650776,.00129264,97.4458,79.9766,112.3945,247.8657,0,U,43790,999,39093,.39084463E-3,.6597E-4,0
ESEO,2018-099AL,2026-01-26T14:27:35.933472,15.03711915,.00132088,97.4176,69.9471,96.0577,264.2155,0,U,43792,999,39052,.28595645E-3,.387E-4,0
HAWK-B,2018-099AN,2026-01-26T14:45:35.040960,15.20838430,.00350135,97.4197,80.4395,80.5220,279.9971,0,U,43794,999,39150,.46400253E-3,.10347E-3,0
THEA,2018-099AQ,2026-01-26T15:22:08.768928,15.29663326,.00092875,97.4639,95.3769,71.7491,288.4760,0,U,43796,999,39101,.82393011E-3,.23682E-3,0
SKYSAT-C12,2018-099AR,2026-01-26T12:35:36.506112,15.44001362,.00030855,96.9439,55.8098,338.3108,21.8010,0,U,43797,999,39996,.46497504E-3,.21143E-3,0
ASTROCAST 0.1,2018-099AS,2026-01-26T12:57:53.584992,15.40094986,.00061511,97.4550,101.5301,20.4929,339.6562,0,U,43798,999,39256,.96197412E-3,.38583E-3,0
HAWK-C,2018-099AT,2026-01-26T13:46:54.192576,15.25518941,.00442779,97.4124,80.9630,66.9897,293.6002,0,U,43799,999,39230,.49572509E-3,.12858E-3,0
ICEYE-X2,2018-099AU,2026-01-26T15:15:18.165024,15.15785811,.00120301,97.4578,83.0141,76.7934,283.4640,0,U,43800,999,39136,.61623567E-3,.11728E-3,0
SKYSAT-C13,2018-099AW,2026-01-26T08:45:36.609120,15.69966111,.00053526,96.9517,74.0980,46.1229,314.0475,0,U,43802,999,40051,.64539073E-3,.77845E-3,0
JY1SAT (JO-97),2018-099AX,2026-01-26T14:50:28.625568,15.28615745,.00072514,97.4348,89.3254,60.5077,299.6885,0,U,43803,999,39196,.8024148E-3,.22317E-3,0
